year;efficiency(gCO2/t-nm); source
1956.161012;56.91147019;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1958.995645;54.37970872;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1961.830279;54.37970872;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1964.664912;54.22535917;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1967.499545;52.3538708;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1970.40564;49.74615955;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1973.168812;47.44469742;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1976.003446;45.25807871;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1978.695737;43.44928178;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1981.672712;42.05746916;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1984.507346;40.87197882;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1987.341979;40.69404809;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1990.176613;41.66087655;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1993.011246;42.83779192;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1994.901002;43.59453349;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
2008;28.82;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2012;23.4;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2013;22.78;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2014;22.36;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2015;23.18;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2016;23.58;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2017;22.13;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2018;21.46;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
